Global Category Tree Look - Up,,,,,
,,,,,
Division,Loadsheet/Department,Main Category,Lowest Category,Minimum Required Images,Required Compliance Certificate,Division_ZH,Department_ZH,Main_ZH,Lowest_ZH
Consumables,Health,Ear Care (16991),Ear Drops (16993),2,,耗材,健康,耳部护理,滴耳液
Consumables,Health,Ear Care (16991),Ear Syringes (16996),1,,耗材,健康,耳部护理,耳冲洗器
Consumables,Health,Ear Care (16991),Ear Wax Removal Kits (16997),1,,耗材,健康,耳部护理,耳垢清除套装
Consumables,Health,Ear Care (16991),Earplugs (16999),1,,耗材,健康,耳部护理,耳塞
Consumables,Health,Face Shields (30443),Face Shields (30443),1,SAHPRA - Medical Device Certificate,耗材,健康,面罩,防护面罩
Consumables,Health,Health Care (16782),Adult Nappies (21659),1,,耗材,健康,保健护理,成人纸尿裤
Consumables,Health,Health Care (16782),Anti-Choking Devices (30881),3,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,防噎装置
Consumables,Health,Health Care (16782),Anti-Snoring Devices (30882),3,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,止鼾器
Consumables,Health,Health Care (16782),Biometric Monitors->Alcohol Breathalyzer (16802),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,酒精呼气测试仪
Consumables,Health,Health Care (16782),Biometric Monitors->Blood Ketone & Glucose Meter (16798),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,血酮血糖仪
Consumables,Health,Health Care (16782),Biometric Monitors->Blood Ketone & Glucose Meter Accessories (30731),1,,耗材,健康,保健护理,血酮血糖仪配件
Consumables,Health,Health Care (16782),Biometric Monitors->Blood Pressure Monitors (16799),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,血压计
Consumables,Health,Health Care (16782),Biometric Monitors->Body Weight Scales (16801),1,,耗材,健康,保健护理,体重秤
Consumables,Health,Health Care (16782),Biometric Monitors->Medical Body Weight Scales (30930),3,,耗材,健康,保健护理,医用体重秤
Consumables,Health,Health Care (16782),Biometric Monitors->Medical Thermometers (16805),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,医用体温计
Consumables,Health,Health Care (16782),Biometric Monitors->Pulse Oximeters (16807),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,脉搏血氧仪
Consumables,Health,Health Care (16782),Catheters (31078),1,,耗材,健康,保健护理,导管
Consumables,Health,Health Care (16782),Compression Packs (30888),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,加压敷包
Consumables,Health,Health Care (16782),Cotton Wool (31076),1,,耗材,健康,保健护理,脱脂棉
Consumables,Health,Health Care (16782),Dermatoscopes (31098),3,,耗材,健康,保健护理,皮肤镜
Consumables,Health,Health Care (16782),Diagnostic Testing (30848),1,,耗材,健康,保健护理,诊断检测
Consumables,Health,Health Care (16782),DNA Ancestry Tests (30502),1,,耗材,健康,保健护理,DNA祖源检测
Consumables,Health,Health Care (16782),Ear Device Maintenance (30845),1,,耗材,健康,保健护理,耳部设备护理
Consumables,Health,Health Care (16782),Ear Devices (16828),1,,耗材,健康,保健护理,耳部设备
Consumables,Health,Health Care (16782),Empty Capsules (30772),1,,耗材,健康,保健护理,空胶囊
Consumables,Health,Health Care (16782),Enema Kits & Accessories (30753),1,,耗材,健康,保健护理,灌肠器及配件
Consumables,Health,Health Care (16782),First Aid->Antiseptics & Cleaning Supplies (16812),2,,耗材,健康,保健护理,消毒及清洁用品
Consumables,Health,Health Care (16782),First Aid->Burns & Blisters (21551),2,,耗材,健康,保健护理,烧伤及水泡护理
Consumables,Health,Health Care (16782),First Aid->Cotton Wool & Swabs (21552),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,脱脂棉及棉签
Consumables,Health,Health Care (16782),First Aid->Equipment (21553),1,,耗材,健康,保健护理,急救设备
Consumables,Health,Health Care (16782),First Aid->First Aid Kits (16815),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,急救箱
Consumables,Health,Health Care (16782),First Aid->Gloves & Masks->Gloves (30426),2,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,手套
Consumables,Health,Health Care (16782),First Aid->Gloves & Masks->Masks->Cloth Masks (30429),1,,耗材,健康,保健护理,布口罩
Consumables,Health,Health Care (16782),First Aid->Gloves & Masks->Masks->Mask Accessories (30688),1,,耗材,健康,保健护理,口罩配件
