Global Category Tree Look - Up,,,,,
,,,,,
Division,Loadsheet/Department,Main Category,Lowest Category,Minimum Required Images,Required Compliance Certificate,Division_ZH,Department_ZH,Main_ZH,Lowest_ZH
Consumables,Health,Ear Care (16991),Ear Drops (16993),2,,耗材,健康,耳部护理,滴耳液
Consumables,Health,Ear Care (16991),Ear Syringes (16996),1,,耗材,健康,耳部护理,耳用注射器
Consumables,Health,Ear Care (16991),Ear Wax Removal Kits (16997),1,,耗材,健康,耳部护理,耳垢清除套装
Consumables,Health,Ear Care (16991),Earplugs (16999),1,,耗材,健康,耳部护理,耳塞
Consumables,Health,Face Shields (30443),Face Shields (30443),1,SAHPRA - Medical Device Certificate,耗材,健康,面罩,面罩
Consumables,Health,Health Care (16782),Adult Nappies (21659),1,,耗材,健康,保健护理,成人尿布
Consumables,Health,Health Care (16782),Anti-Choking Devices (30881),3,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,防窒息设备
Consumables,Health,Health Care (16782),Anti-Snoring Devices (30882),3,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,防打鼾设备
Consumables,Health,Health Care (16782),Biometric Monitors->Alcohol Breathalyzer (16802),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,生物识别监测器->酒精呼吸分析仪
Consumables,Health,Health Care (16782),Biometric Monitors->Blood Ketone & Glucose Meter (16798),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,生物识别监测器->血酮和血糖仪
Consumables,Health,Health Care (16782),Biometric Monitors->Blood Ketone & Glucose Meter Accessories (30731),1,,耗材,健康,保健护理,生物识别监测器->血酮和血糖仪配件
Consumables,Health,Health Care (16782),Biometric Monitors->Blood Pressure Monitors (16799),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,生物识别监测器->血压监测仪
Consumables,Health,Health Care (16782),Biometric Monitors->Body Weight Scales (16801),1,,耗材,健康,保健护理,生物识别监测器->体重秤
Consumables,Health,Health Care (16782),Biometric Monitors->Medical Body Weight Scales (30930),3,,耗材,健康,保健护理,生物识别监测器->医用体重秤
Consumables,Health,Health Care (16782),Biometric Monitors->Medical Thermometers (16805),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,生物识别监测器->医用体温计
Consumables,Health,Health Care (16782),Biometric Monitors->Pulse Oximeters (16807),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,生物识别监测器->脉搏血氧仪
Consumables,Health,Health Care (16782),Catheters (31078),1,,耗材,健康,保健护理,导尿管
Consumables,Health,Health Care (16782),Compression Packs (30888),1,SAHPRA - Medical Device Certificate,耗材,健康,保健护理,压缩包
Consumables,Health,Health Care (16782),Cotton Wool (31076),1,,耗材,健康,保健护理,棉絮
Consumables,Health,Health Care (16782),Dermatoscopes (31098),3,,耗材,健康,保健护理,皮肤镜
Consumables,Health,Health Care (16782),Diagnostic Testing (30848),1,,耗材,健康,保健护理,诊断测试
